IMDB,MOVIE TITLE,Release Date,Cast,Duration,Production,Genre,Country
7.5,Name Me Lawand,2023-07-07,Not Defined,"84
                min",Pulse Films,,
6.2,Madeleine Collins,2021-07-21,"['Ingrid Heiderscheidt', 'Quim Gutiérrez', 'Bruno Salomone', 'Jacqueline Bisset', 'Flavia Zanon']","102
                min",Les films du Bélier,,
7.5,Alex Edelman: Just for Us,2024-04-06,['Alex Edelman'],"91
                min",Above Average,,
4.9,Splinter,2023-03-10,"['Szymon Piotr Warszawski', 'Jakub Gierszał', 'Waleria Gorobets', 'Ignacy Liss', 'Sebastian Dela']","88
                min",Studio TFP,,
3.7,They Turned Us Into Killers,2024-01-09,"['Xander Goldman', 'Michael Berryman', 'Jackson Everest', 'Joe Leone', 'Brian Anthony Wilson']","86
                min",PhilaDreams Films,,
7.2,The Night The World Ends,2023-04-07,"['Ronnie Derrick Lyall', 'Clara Imon Pedtke', 'Katherine Vazquez', 'Aaron Henry', 'Nicole Zillmer']","93
                min",The Existentialist Film Creative,,
6,Seagrass,2024-02-23,"['Chris Pang', 'Gabriel Carter', 'Nathan Parrott', 'Remy Marthaller', 'Sarah Gadon']","115
                min",Ceroma Films,,
4.2,Last Night at Terrace Lanes,2024-01-16,"['Anita Sharma', 'Francesca Capaldi', 'Ken Arnold', 'Sam Lukowski', 'Mia Rae Roberts']","75
                min",Epic Pictures Group,,
5.2,Dead Girls Dancing,2023-06-28,"['Katharina Stark', 'Luna Jordan', 'Wiebke Puls', 'Astrid Polak', 'Mina Martinschledde']","100
                min",kalekone film,,
7.1,Aristotle and Dante Discover the Secrets of the Universe,2023-09-08,"['Marlene Forte', 'Hanani Taylor', 'Jose Diaz', 'Veronica Falcón', 'Isabella Gomez']","97
                min",3Pas Studios,,
6.8,The First Omen,2024-04-03,"['Tawfeek Barhom', 'Anton Alexander', 'James Swanton', 'Nell Tiger Free', 'Bill Nighy']","120
                min",Phantom Four,,
3.6,Monster Mash,2024-03-29,"['Gabriel Pranter', 'Michelle Bauer', 'Michael Madsen', 'Ethan Daniel Corbett', 'Emma Reinagel']","90
                min",Atomic Blonde Entertainment,,
7.2,Monkey Man,2024-04-03,"['Sikander Kher', 'Pitobash Tripathy', 'Vipin Sharma', 'Makrand Deshpande', 'Sobhita Dhulipala']","121
                min",Thunder Road,,
6.5,Scoop,2024-04-05,"['Richard Goulding', 'Billie Piper', 'Keeley Hawes', 'Nicholas A. Newman', 'Lia Williams']","102
                min",The Lighthouse,,
6.3,The Antisocial Network: Memes to Mayhem,2024-03-10,Not Defined,"85
                min",Boardwalk Pictures,,
6.2,Double Down South,2024-01-19,"['Tom Bower', 'Lili Simmons', 'Justin Marcel McManus', 'Jon Levine', 'Indiana Sifuentes']","120
                min",Parami Productions,,
5.2,The Tearsmith,2024-04-04,"['Orlando Cinque', 'Roberta Rovelli', 'Sveva Romano Candelletta', 'Alessandro Bedetti', 'Sabrina Paravicini']","103
                min",Colorado Film,,
4.7,The Perfect Escape,2023-02-14,"['Giorgia Sinicorni', 'Nigel Whitmey', 'Stacy Thunes', 'Mark Holden', 'Howard Dell']","97
                min",Jacob Brothers,,
5.8,The Black Minutes,2021-10-28,"['Kristyan Ferrer', 'Enrique Arreola', 'José Sefami', 'Waldo Facco', 'Sofía Espinosa']","96
                min",Voces Imaginarias,,
2.8,Strictly Confidential,2024-04-05,"['Lauren McQueen', 'Thomas Downey', 'Genevieve Gaunt', 'Amber Townsend', 'Sof Puchley']","89
                min",MSR Media SKN,,
7.3,La Chimera,2023-10-12,"['Alba Rohrwacher', 'Isabella Rossellini', 'Carol Duarte', 'Vincenzo Nemolato', 'Lou Roy-Lecollinet']","133
                min",Tempesta,,
6.9,Knox Goes Away,2024-03-15,"['Michael Keaton', 'Marcia Gay Harden', 'Ray McKinnon', 'Lela Loren', 'Chad Donella']","114
                min",Brookstreet Pictures,,
5.5,How to Date Billy Walsh,2024-04-04,"['Tanner Buchanan', 'Charles Camrose', 'Sebastian Croft', 'Lucy Punch', 'Charithra Chandran']","98
                min",Future Artists Entertainment,,
6.6,Girls State,2024-01-18,"['Maddie Rowan', 'Faith Glasgow', 'Brooke Taylor', 'Emily Worthmore', 'Tochi Ihekona']","95
                min",Concordia Studio,,
5.6,Girls on Film,2023-11-07,"['Mark Slater', 'Dare Taylor', 'Willow Grey', 'Liz Bash', 'Donnie Marhefka']","97
                min",Leslin Films,,
